title,story,level
A FUNNY STORY,"Barbara likes funny stories. She likes to hear funny stories. She likes to tell funny stories. She told her mom a funny story. When she finished, she waited for her mom to laugh. ""Mom, why aren't you laughing? That was a funny story,"" Barbara said. ""Oh, I'm sorry,"" her mom said. ""Sometimes you think something is funny, but someone else thinks it isn't funny."" So, Barbara's mom did not laugh at Barbara's story. Barbara told the same story to her younger sister. Her younger sister laughed at the story.",hard
 BUG IN A BOTTLE,"Charles found a glass bottle. He found the glass bottle in his back yard. It was a pretty glass bottle. It was dark green. He looked inside the dark green bottle. He couldn't see anything. He shook the bottle. Something came out of the bottle. It landed on the ground. It was a bug. Charles picked up the bug. He looked at it. The bug looked at Charles. Charles put the bottle back on the ground. He put the bug on the ground, next to the bottle. The bug crawled back into the bottle.",hard
Birthday   ,"Today my father is 50 years old . We are having a party. My mother gives him a bag. My brother Yossi has a book for him. My sisters Chani gives him a letter and I have a big cake to the party. My father says, ""thank you""!",medium
GOOD DAY,Today is a good day. I think it is even better than yesterday. I hope that the playground is empty. From here it looks empty. I want to play soccer with Ron. He always wins and I hate it. Now I want to win.,medium
My day,"First, I wake up. Then, I get dressed. I walk to school. I do not ride a bike. I do not ride the bus. I like to go to school. It rains. I do not like rain. I eat lunch. I eat a sandwich and an apple.",medium
WASH THE CLOTHES,Daniel wanted to visit a farm. He asked his parents to take him to a farm. His teacher told him about the animals on a farm. There are lots of animals on a farm. Daniel wanted to see the animals. He wanted to see the cows. He wanted to see the chickens. He wanted to see the pigs.,medium
SHORT GIRL,Mary was a small girl. She was a little girl. All her friends were taller than her. She was shorter than all her friends. She wanted to be tall. Her mom told her not to worry. One day Mary would be tall.,medium
NEW SHOES,Lisa loves to go shopping. Tomorrow she is going shopping. She needs a new pair of shoes. She wants to buy a pair of red shoes. She thinks red shoes are pretty. She will buy a pair of shoes at the mall. Lisa usually shops at the mall.,medium
A NEW CAR,Mark bought a new car last week. He is happy with his new car. He got a good deal on his new car. It was on sale. His new car is green. The four tires are black. His new car has four doors.,medium
THE SWIMMER,Karen is on the swim team. She is on the swim team at school. She is a good swimmer. All the swimmers on the swim team are good swimmers. She swims every day. She goes to the pool after her last class. Her last class is her English class.,medium
HOW RUDE,Helen is unhappy with her mother. Her mother is unhappy with Helen. They are both unhappy with each other. Helen has a boyfriend. His name is Peter. Her mother doesn't like Peter. Her mother said that Peter is rude. ,medium
NO ENERGY,"ol felt tired. She felt tired all the time. She didn't use to feel tired. She used to have a lot of energy. Why was she so tired all the time? ""You should eat more sugar,"" her friend told her. ""Sugar will give you energy."" But Carol didn't want to eat more sugar.",medium
 QUESTIONS,When does Ronald eat breakfast? He eats breakfast in the morning. What does he eat for breakfast? He eats ham and eggs. What does he drink for breakfast? He drinks coffee. Where does he eat breakfast? He eats breakfast at home. ,medium
 NO JOB,Kimberly was not happy. She was sad. She needed a job. She asked everyone for a job. Everyone told her no. No one had a job for her. She came home every day and cried. How could she live without a job?,medium
MY DOG,"Jason looked at his watch. It was time for his favorite TV show. He turned on the TV. He sat down in his chair. But then he heard his dog. His dog was scratching at the door. Oh, no, Jason thought. The dog wanted to go out.",medium
A NEW NAME,Herman didn't like his first name. He had never liked it. He wanted to change it. He asked his mother. She said it was too late to change his name. She said he could use his middle name. She would call him by his middle name. She asked him if that was okay. Herman said yes.,medium
 TRY TO SLEEP,"Norma went to bed. It was eleven o'clock. She turned out the light. She lay in bed. It was dark. It was quiet. She couldn't sleep. She closed her eyes. She tried to sleep, but she couldn't.",medium
SUNDAY,On Sunday Dan is a fisherman. He catches a boot. He catches a wheel. He catches a stick. But he doesn't catch any fish.,easy
Roni is seven years old,Roni is seven years old. Last year she was six years old. Next year she will be eight years old. Roni's mom baked a birthday cake. Roni invited all her friend.,easy
The secret,"I had a secret. I decided not to tell it to anyone, only to my good friend Tal. Tal kept my secret for three days. On the third day he told it to Gal. I had a secret. Now I don’t have one.",easy
Friends,"Gal and Bar are best friends. But they are very different from each other. Gal loves football, Bar loves basketball. Gal loves to sing, Bar loves to dance.",easy
The Dream,"At night, I had a dream. I dreamed we had a math test. And the test was really easy. I solved a question, and then another question..",easy
Yael?s room,"Yael's room, is a real mess. everything is lying on the floor. Mom came into her room, and said, ""Everything is a mess in here"". ""This is not true"", said Yael.",easy
My sister,"I have a little sister. She is one year old. She cries a lot. When she's hungry, she cries. When she's tired, she cries. When she's bored, she cries.",easy
ADD NUMBERS,Maria was learning to add numbers. She liked to add numbers. It was easy to add numbers. She could add one and one. She knew that one and one are two.,easy
PIANO PLAYER,Donald plays the piano. He loves the piano. He has a big piano in his living room. His piano is shiny and black. It has three legs.,easy
time for bed,It was time for bed. Edward was very tired. He turned off the TV. He turned off his computer. He turned off the dining room light.,easy
SWIMMING POOL,Sharon jumped into the water at the swimming pool. She held her nose. She went under the water. Then she came back up. She swam to the ladder in the pool.,easy
IN LOVE,Donna loved her husband. Her husband loved Donna. They were in love with each other. She wanted to give him a birthday present.,easy
A STORM,Laura looked out the window. A storm was coming. The sky was getting darker. The wind was starting to blow. Some trees were bending.,easy
NEWS EVERY DAY,Jackie loves the news. She listens to the news on the radio. She watches the news on TV. She reads the news in the newspaper. She reads the news in magazines.,easy
HIS NEW BOOK,Louis got a new book. The book was about animals. Louis loved animals. The book had lots of pictures. It had pictures of dogs and cats. ,easy
